First Name,Last Name,Mailing Address,Mailing City,Mailing State,Mailing Zip,Property Address,Property City,Property State,Property Zip,Lead Type,Document Type,Date Filed,Document Number,Amount/Debt Owed,Seller Score,Motivated Seller Flags,Source,Public Records URL,Parcel Number,Appraised Value,Delinquent Taxes,Delinquent Amount,Homestead Exemption,Out-of-State Owner,Neighborhood,Violation Status,Violation Description,Violation Severity
,,,,OH,,12332 Ashbury Ave,Cleveland,OH,44106,Condemned Property,CONDEMN,09/08/2025,CONDEMN-120-14-072,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,120-14-072,,No,,No,No,Glenville,Condemned,,
,,,,OH,,3900 W 36Th St,Cleveland,OH,44109,Condemned Property,CONDEMN,09/05/2025,CONDEMN-014-02-129,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,014-02-129,,No,,No,No,Brooklyn Centre,Condemned,,
,,,,OH,,964 E 70Th St,Cleveland,OH,44103,Condemned Property,CONDEMN,09/05/2025,CONDEMN-105-14-050,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,105-14-050,,No,,No,No,St.Clair-Superior,Condemned,,
,,,,OH,,3019 E 116Th St,Cleveland,OH,44120,Condemned Property,CONDEMN,09/04/2025,CONDEMN-129-22-014,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,129-22-014,,No,,No,No,Buckeye-Shaker Square,Condemned,,
,,,,OH,,11916 Holborn Ave,Cleveland,OH,44105,Condemned Property,CONDEMN,09/04/2025,CONDEMN-137-08-036,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,137-08-036,,No,,No,No,Mount Pleasant,Condemned,,
,,,,OH,,12915 Bellaire Rd,Cleveland,OH,44135,Condemned Property,CONDEMN,09/02/2025,CONDEMN-019-21-047,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,019-21-047,,No,,No,No,Bellaire-Puritas,Condemned,,
,,,,OH,,7118 Lawnview Ave,Cleveland,OH,44103,Condemned Property,CONDEMN,08/27/2025,CONDEMN-106-10-098,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,106-10-098,,No,,No,No,Hough,Condemned,,
,,,,OH,,11449 Carolina Rd,Cleveland,OH,44108,Condemned Property,CONDEMN,08/27/2025,CONDEMN-110-31-040,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,110-31-040,,No,,No,No,Glenville,Condemned,,
,,,,OH,,2313 E 83Rd St,Cleveland,OH,44104,Condemned Property,CONDEMN,08/27/2025,CONDEMN-119-30-010,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,119-30-010,,No,,No,No,Fairfax,Condemned,,
,,,,OH,,12005 Phillips Ave,Cleveland,OH,44108,Condemned Property,CONDEMN,08/26/2025,CONDEMN-110-26-057,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,110-26-057,,No,,No,No,Glenville,Condemned,,
,,,,OH,,1827 Grantham Rd,Cleveland,OH,44112,Condemned Property,CONDEMN,08/26/2025,CONDEMN-117-16-083,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,117-16-083,,No,,No,No,Euclid-Green,Condemned,,
,,,,OH,,1381 W 83Rd,Cleveland,OH,44102,Condemned Property,CONDEMN,08/25/2025,CONDEMN-002-01-030,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,002-01-030,,No,,No,No,Detroit Shoreway,Condemned,,
,,,,OH,,3777 W 39Th St,Cleveland,OH,44109,Condemned Property,CONDEMN,08/22/2025,CONDEMN-015-23-014,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,015-23-014,,No,,No,No,Brooklyn Centre,Condemned,,
,,,,OH,,3216 Montclair Ave,Cleveland,OH,44109,Condemned Property,CONDEMN,08/20/2025,CONDEMN-014-20-191,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,014-20-191,,No,,No,No,Old Brooklyn,Condemned,,
,,,,OH,,4123 E 100Th St,Cleveland,OH,44105,Condemned Property,CONDEMN,08/14/2025,CONDEMN-136-15-073,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,136-15-073,,No,,No,No,Union-Miles,Condemned,,
,,,,OH,,15630 Kipling Ave,Cleveland,OH,44110,Condemned Property,CONDEMN,08/11/2025,CONDEMN-115-31-121,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,115-31-121,,No,,No,No,Collinwood-Nottingham,Condemned,,
,,,,OH,,1280 W 104,Cleveland,OH,44102,Condemned Property,CONDEMN,08/08/2025,CONDEMN-001-16-035,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,001-16-035,,No,,No,No,Edgewater,Condemned,,
,,,,OH,,3224 W 58Th St,Cleveland,OH,44102,Condemned Property,CONDEMN,08/08/2025,CONDEMN-016-07-063,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,016-07-063,,No,,No,No,Stockyards,Condemned,,
